FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
1006731,2011,Graphic Packaging International - Augusta,230081.7,73.59,RB2,Chemical Recovery Furnace,12.27,,
1006731,2011,Graphic Packaging International - Augusta,916963.7,293.28,RB3,Chemical Recovery Furnace,48.88,,
1006731,2011,Graphic Packaging International - Augusta,,,LK1,Pulp Mill Lime Kiln,,,
1006731,2011,Graphic Packaging International - Augusta,,,LK2,Pulp Mill Lime Kiln,,,
1006760,2011,International Paper ROME LINERBOARD MILL,1002462.7,318.58,RF5,Chemical Recovery Furnace,53.1,,
1006760,2011,International Paper ROME LINERBOARD MILL,,,LK1,Pulp Mill Lime Kiln,,,
1006760,2011,International Paper ROME LINERBOARD MILL,,,LK2,Pulp Mill Lime Kiln,,,
1006776,2011,International Paper - Valliant Mill,1021573.9,325.16,Recovery Furnace (EUG D6),Chemical Recovery Furnace,54.19,,
1006776,2011,International Paper - Valliant Mill,,,Lime Kiln (EUG E7),Pulp Mill Lime Kiln,,,
1006788,2011,International Paper-Riverdale Mill,229148.0,73.1,RB1,Chemical Recovery Furnace,12.2,,
1006788,2011,International Paper-Riverdale Mill,353404.0,112.7,RB2,Chemical Recovery Furnace,18.8,,
1006788,2011,International Paper-Riverdale Mill,,,LK3,Pulp Mill Lime Kiln,,,
1006803,2011,INTERNATIONAL PAPER SAVANNA MILL,1211302.5,385.36,RF15,Chemical Recovery Furnace,64.23,,
1006803,2011,INTERNATIONAL PAPER SAVANNA MILL,,,LK07,Pulp Mill Lime Kiln,,,
1006885,2011,International Paper Ticonderoga Mill,356460.1,113.92,RF1,Chemical Recovery Furnace,18.99,,
1006885,2011,International Paper Ticonderoga Mill,,,LK1,Pulp Mill Lime Kiln,,,
1006892,2011,International Paper-Prattville Mill,477922.6,152.2,Recovery Boiler No. 1/ Z001,Chemical Recovery Furnace,25.4,,
1006892,2011,International Paper-Prattville Mill,604658.0,192.6,Recovery Boiler No. 2/ Z011,Chemical Recovery Furnace,32.1,,
1006892,2011,International Paper-Prattville Mill,,,Lime Kiln No. 1/ Z003,Pulp Mill Lime Kiln,,,
1006892,2011,International Paper-Prattville Mill,,,Lime Kiln No. 2/ Z013,Pulp Mill Lime Kiln,,,
1006958,2011,"WestRock CP, LLC - Panama City Mill (Formerly RockTenn)",510943.0,162.0,RF#2,Chemical Recovery Furnace,27.0,,
1006958,2011,"WestRock CP, LLC - Panama City Mill (Formerly RockTenn)",518034.0,165.0,RF#1,Chemical Recovery Furnace,27.0,,
1006958,2011,"WestRock CP, LLC - Panama City Mill (Formerly RockTenn)",,,LK#1,Pulp Mill Lime Kiln,,,
1006962,2011,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,875736.0,279.74,X024,Chemical Recovery Furnace,46.623,,
1006962,2011,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,,,X026,Pulp Mill Lime Kiln,,,
1006975,2011,GEORGIA-PACIFIC PORT HUDSON OPERATIONS,443377.0,141.64,RF01,Chemical Recovery Furnace,23.606,,
1006975,2011,GEORGIA-PACIFIC PORT HUDSON OPERATIONS,757393.0,241.95,RF02,Chemical Recovery Furnace,40.325,,
1006975,2011,GEORGIA-PACIFIC PORT HUDSON OPERATIONS,,,LK01,Pulp Mill Lime Kiln,,,
1006975,2011,GEORGIA-PACIFIC PORT HUDSON OPERATIONS,,,LK02,Pulp Mill Lime Kiln,,,
1007069,2011,Expera Old Town LLC,327516.0,104.9,recovery furnace,Chemical Recovery Furnace,17.5,,
1007135,2011,GEORGIA PACIFIC CONSUMER OPERATIONS LLC,754415.0,240.64,EU 018 No. 4 Recovery Boiler,Chemical Recovery Furnace,40.107,,
1007135,2011,GEORGIA PACIFIC CONSUMER OPERATIONS LLC,,,EU 017 No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
1007196,2011,Verso Wickliffe LLC,571178.1,182.68,03,Chemical Recovery Furnace,30.45,,
1007196,2011,Verso Wickliffe LLC,,,08,Pulp Mill Lime Kiln,,,
1007214,2011,GEORGIA-PACIFIC Crossett Paper Operations,996922.8,318.45,8R Boiler (SN26),Chemical Recovery Furnace,53.075,,
1007214,2011,GEORGIA-PACIFIC Crossett Paper Operations,,,Lime Kiln (SN25),Pulp Mill Lime Kiln,,,
1007226,2011,International Paper-Riegelwood,411223.0,131.15,RB4,Chemical Recovery Furnace,21.86,,
1007226,2011,International Paper-Riegelwood,1190964.9,379.81,RB5,Chemical Recovery Furnace,63.3,,
1007226,2011,International Paper-Riegelwood,,,LK3,Pulp Mill Lime Kiln,,,
1007226,2011,International Paper-Riegelwood,,,LK4,Pulp Mill Lime Kiln,,,
1007273,2011,Expera Specialty Solutions LLC - Mosinee Mill,172066.0,54.8,#14 Recovery Boiler (B21),Chemical Recovery Furnace,9.13,0.0019,0.00042
1007273,2011,Expera Specialty Solutions LLC - Mosinee Mill,,,Lime Kiln (P36),Pulp Mill Lime Kiln,,,
1007627,2011,GEORGIA PACIFIC MONTICELLO LLC,517699.0,164.52,#1 Recovery Boiler,Chemical Recovery Furnace,27.421,,
1007627,2011,GEORGIA PACIFIC MONTICELLO LLC,526749.0,167.4,#2 Recovery Boiler,Chemical Recovery Furnace,27.9,,
1007627,2011,GEORGIA PACIFIC MONTICELLO LLC,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1007867,2011,Packaging Corporation of America,198503.4,63.15,Recovery Boiler #1,Chemical Recovery Furnace,10.52,0.0019,0.00042
1007867,2011,Packaging Corporation of America,202472.6,64.41,Recovery Boiler #2,Chemical Recovery Furnace,10.735,0.0019,0.00042
1007867,2011,Packaging Corporation of America,523825.6,166.64,Recovery Boiler #3,Chemical Recovery Furnace,27.77,0.0019,0.00042
1007867,2011,Packaging Corporation of America,,,Lime Kiln #1,Pulp Mill Lime Kiln,,,
1007867,2011,Packaging Corporation of America,,,Lime Kiln #2,Pulp Mill Lime Kiln,,,
1007912,2011,International Paper - Georgetown Mill,601124.5,191.37,No. 1 Recovery Boiler,Chemical Recovery Furnace,31.9,,
1007912,2011,International Paper - Georgetown Mill,727924.4,231.74,No. 2 Recovery Boiler,Chemical Recovery Furnace,38.62,,
1007912,2011,International Paper - Georgetown Mill,,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
1007912,2011,International Paper - Georgetown Mill,,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
1007917,2011,"ALABAMA RIVER CELLULOSE, LLC",896953.0,286.0,X001,Chemical Recovery Furnace,47.667,0.0019,0.00042
1007917,2011,"ALABAMA RIVER CELLULOSE, LLC",1098355.0,349.05,X012,Chemical Recovery Furnace,58.176,0.0019,0.00042
1007917,2011,"ALABAMA RIVER CELLULOSE, LLC",,,X003,Pulp Mill Lime Kiln,,,
1007917,2011,"ALABAMA RIVER CELLULOSE, LLC",,,X014,Pulp Mill Lime Kiln,,,
1007964,2011,"West Rock Mill Company, LLC",790162.0,252.0,RF3,Chemical Recovery Furnace,42.0,,
1007964,2011,"West Rock Mill Company, LLC",,,LK3,Pulp Mill Lime Kiln,,,
1007994,2011,BOISE WHITE PAPER LLC,509614.0,162.86,Recovery Furnace EU 320,Chemical Recovery Furnace,27.143,,
1007994,2011,BOISE WHITE PAPER LLC,,,Lime Kiln EU 340,Pulp Mill Lime Kiln,,,
1008025,2011,LEAF RIVER CELLULOSE LLC,1176193.0,373.79,AA-011,Chemical Recovery Furnace,62.298,,
1008025,2011,LEAF RIVER CELLULOSE LLC,,,AA-013,Pulp Mill Lime Kiln,,,
1008042,2011,WAUNA MILL,532913.0,169.76,Chem Rec Furn / EU-24,Chemical Recovery Furnace,28.293,,
1008042,2011,WAUNA MILL,,,LK / EU-21,Pulp Mill Lime Kiln,,,
1008553,2011,"WestRock CP, LLC - Stevenson Mill",129383.0,41.0,RB1,Chemical Recovery Furnace,7.0,,
1008708,2011,"WestRock CP, LLC--Hopewell Mill (Formerly RockTenn)",509812.0,162.0,RF1,Chemical Recovery Furnace,27.0,,
1008708,2011,"WestRock CP, LLC--Hopewell Mill (Formerly RockTenn)",,,LK1,Lime Kiln,,,
1008999,2011,Cosmopolis Pulp Mill,21657.3,6.88,Combined Recovery Stack AP10,Chemical Recovery Furnace,1.147,,
