FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,COMMON_STACK_COMBINED_HEAT_UOM,TIER_123_SORBENT_CO2_EMISSIONS,TIER123_BIOGENIC_CO2_EMISSIONS,TIER_1_2_3_FOSSIL_CO2_EMISSION,TIER_4_OPERATING_HOURS,TIER_4_OP_HRS_CO2_CONC_SUB,TIER_4_OP_HRS_STACK_FLOWRT_SUB,TIER_4_OP_HRS_STACK_MOIST_SUB,UNIT_NAME,UNIT_TYPE,UNIT_TYPE_OTHER,IND_UNIT_HEAT_INPUT_CAPACITY,IND_UNIT_HEATINPUTCAPACITY_UOM,IND_UNIT_HEATCAPACITY_UOM_OTHR,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,COMMON_PIPE_HEAT_CAPACITY,COMMON_PIPE_HEAT_CAPACITY_UOM,COMMON_STACK_NUMBER_OF_UNITS,TIER4_V_TOTAL,TIER4_V_BIO,TIER4_ANNUAL_BIO_CO2_EMISSION,PART_75_CO2_EMISSIONS_METHOD,PART_75_METHOD_STARTDATE,PART_75_METHODOLOGY_ENDDATE,PART_75_HEAT_INPUT_METHOD,PART_75_CO2_METHOD,PART_75_OP_HRS_FUEL_FLOWRATE,PART_75_OP_HRS_HHV_SUB,PART_75_OP_HRS_CO2_CONC_SUB,PART_75_OP_HRS_FLOWRATE_SUB,TIER4_NONBIOGENIC_CO2EMISSION,TIER_4_BIOGENIC_CO2_EMISSIONS,TIER_4_TOTAL_CO2_EMISSIONS,TIER_4_METHODOLOGY_START_DATE,TIER_4_METHODOLOGY_END_DATE,TIER4_VFF,PART_75_OP_HRS_MOISTURE_SUB,BIOGENIC_CO2_MASS_EMISS_MSW,TOTAL_AMT_SORBENT_USED,PLANT_CODE,CP_USEIVTIND,CS_USEIVTIND,IND_USE_IVT_IND,AGG_USEIVTIND,CP_CUMULATIVE_MAXHEAT_INPUTCAP,COMMON_STACK_COMBINED_HEAT,AGG_CUMULATIVE_HEAT_INPUTCAP,SORBENT_MOLECULAR_WEIGHT,SORBENT_RATIO
1002407,2011,KOCH FERITLIZER ENID LLC ENID NITROGEN PLT,,,0.0,825736.0,,,,,CP-1,OCS (Other combustion source),,,,,,,1243.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002409,2011,"MEP Station 3 Perryville, LA",,0.0,0.0,74227.9,,,,,GP-01,OCS (Other combustion source),,,,,61.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002412,2011,"NGPL Station 309, Marble Hill, MO",,0.0,0.0,87395.3,,,,,GP-01,OCS (Other combustion source),,,,,68.05,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002413,2011,"NGPL Station 107 Emerson, IA",,0.0,0.0,66668.7,,,,,GP-01,OCS (Other combustion source),,,,,57.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002414,2011,CCI Paradox Midstream LLC - Lisbon Valley Gas Plant,,0.0,0.0,11625.1,,,,,GP-03,OCS (Other combustion source),,,,,66.9,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002414,2011,CCI Paradox Midstream LLC - Lisbon Valley Gas Plant,,0.0,0.0,20201.5,,,,,GP-02,OCS (Other combustion source),,,,,6.855,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002414,2011,CCI Paradox Midstream LLC - Lisbon Valley Gas Plant,,0.0,0.0,25140.8,,,,,GP-01,OCS (Other combustion source),,,,,47.54,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002415,2011,SPINDLE GAS PROCESSING PLANT,,,0.0,33464.125,,,,,CP-Id: 45002,OCS (Other combustion source),,,,,,,11.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002415,2011,SPINDLE GAS PROCESSING PLANT,,,0.0,4358.894,,,,,CP-Id: 45307,OCS (Other combustion source),,,,,,,15.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002416,2011,ANDECTOR BOOSTER STATION,,,0.0,29352.756,,,,,CP-Id: 01321-00,OCS (Other combustion source),,,,,,,7.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002419,2011,"NGPL Station 311 Hammond, IL",,0.0,0.0,70985.0,,,,,GP-01,OCS (Other combustion source),,,,,50.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002420,2011,WEST WADDELL BOOSTER,,,0.0,28711.449,,,,,CP-Id: 722458-00,OCS (Other combustion source),,,,,,,16.02,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002421,2011,ASH GROVE CEMENT COMPANY,,0.0,0.0,1133.7,,,,,GP-Natural Gas,OCS (Other combustion source),,,,,0.125,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002421,2011,ASH GROVE CEMENT COMPANY,,0.0,0.0,21.0,,,,,GP-Diesel Fired Sources,OCS (Other combustion source),,,,,0.42,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002422,2011,OZONA GAS PLANT,,,0.0,51655.095,,,,,CP-Id: 72436014,OCS (Other combustion source),,,,,,,56.41,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002425,2011,RUMPKE WASTE INC BROWN COUNTY SANITARY LANDFILL *,,0.0,0.0,0.0,,,,,GP-Diesel,OCS (Other combustion source),,,,,0.386,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002425,2011,RUMPKE WASTE INC BROWN COUNTY SANITARY LANDFILL *,,0.0,0.0,0.0,,,,,GP-Propane,OCS (Other combustion source),,,,,0.385,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 001 - Boiler #1,"OB (Boiler, other)",,40.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 002 - Boiler #2,"OB (Boiler, other)",,40.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 132 - Superheater #4,OCS (Other combustion source),Steam Superheater,0.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 139 - Superheater #5,OCS (Other combustion source),Steam Superheater,0.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 140 - Superheater #6,OCS (Other combustion source),Steam Superheater,0.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 141 - Superheater #7,OCS (Other combustion source),Steam Superheater,0.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 150 - Superheater #1,OCS (Other combustion source),Steam Superheater,1.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 151 - Superheater #3,OCS (Other combustion source),Steam Superheater,0.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 159 - Propane Gas Feed Vaporizer,OCS (Other combustion source),Propane Gas Feed Vaporizer,3.36,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 162 - Standby Generator,RICE (Reciprocating internal combustion engine),,8.207,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 164 - Superheater #2,OCS (Other combustion source),Steam Superheater,1.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 167 - Standby Generator,RICE (Reciprocating internal combustion engine),,8.207,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 172 - Superheater TS,OCS (Other combustion source),Steam Superheater,1.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 178 - Water Heater,"HWH (Heater, hot water)",,18.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 307 - Standby Generator,RICE (Reciprocating internal combustion engine),,5.082,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 313 - Boiler #3,"OB (Boiler, other)",,48.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 321 - Water Heater #1,"HWH (Heater, hot water)",,21.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 322 - Water Heater #2,"HWH (Heater, hot water)",,21.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 327 - Boiler #4,"OB (Boiler, other)",,48.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002426,2011,GNRL MILLS,,0.0,0.0,,,,,,EP 330 - Standby Generator,RICE (Reciprocating internal combustion engine),,8.207,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,118-70151-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B001 (11801),RICE (Reciprocating internal combustion engine),,15.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B002 (11802),RICE (Reciprocating internal combustion engine),,15.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B003 (11803),RICE (Reciprocating internal combustion engine),,15.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B004 (11804),RICE (Reciprocating internal combustion engine),,15.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B005 (11805),RICE (Reciprocating internal combustion engine),,15.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B006 (11806),RICE (Reciprocating internal combustion engine),,16.81,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,B007 (11807),RICE (Reciprocating internal combustion engine),,16.81,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002427,2011,Lebanon,,0.0,0.0,0.0,,,,,P001 (12301),"SCCT (CT (Turbine, simple cycle combustion))",,45.69,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002429,2011,Pinedale Complex,,0.0,0.0,,,,,,TURBINE-1,"SCCT (CT (Turbine, simple cycle combustion))",,121.13,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002429,2011,Pinedale Complex,,,0.0,12566.1,,,,,CP-007914,OCS (Other combustion source),,,,,,,26.04,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002429,2011,Pinedale Complex,,,0.0,2865.8,,,,,CP-006858,OCS (Other combustion source),,,,,,,8.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002429,2011,Pinedale Complex,,,0.0,5439.3,,,,,CP-005791,OCS (Other combustion source),,,,,,,13.02,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002429,2011,Pinedale Complex,,,0.0,8302.6,,,,,CP-007120,OCS (Other combustion source),,,,,,,26.04,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002430,2011,AIR PRODUCTS BAYTOWN PLANT,,0.0,0.0,,,,,,Boiler (EPN 7),"OB (Boiler, other)",,350.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002431,2011,HANSON PERMANENTE CEMENT,,0.0,0.0,,,,,,Lab 1 Cupertino,F (Furnace),,0.0384,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002432,2011,Lhoist North America New Braunfels Plant,,0.0,0.0,162848.4,,,,,GP-1,OCS (Other combustion source),,,,,200.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002433,2011,BUNGE NORTH AMERICA,,0.0,0.0,0.0,,,,,GP-1,OCS (Other combustion source),,,,,4.28,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002433,2011,BUNGE NORTH AMERICA,,,0.0,0.0,,,,,CP-1,OCS (Other combustion source),,,,,,,211.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,#92 Paper Machine - P011,PD (Product or intermediate product dryer),,6.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,#93 Paper Machine - P014,PD (Product or intermediate product dryer),,9.37,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,#95 Building Heaters - K002,CH (Comfort heater),,60.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,#95 Coater Machine - K002,PD (Product or intermediate product dryer),,60.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,Boiler 2 - B002,S (Stoker Boiler),,130.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,Boiler 3 - B001,"OB (Boiler, other)",,129.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,Boiler 4 - B003,S (Stoker Boiler),,245.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002434,2011,"APPVION, INC. WEST CARROLLTON",,0.0,0.0,,,,,,Three Package Boilers,"OB (Boiler, other)",,100.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002436,2011,BROOME CO NANTICOKE LANDFILL,,0.0,0.0,,,,,,Leachate plant heater,CH (Comfort heater),,1.379,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002436,2011,BROOME CO NANTICOKE LANDFILL,,0.0,0.0,,,,,,Maintenance Building Waste Oil Heater,CH (Comfort heater),,0.25,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002437,2011,SIKORSKY AIRCRAFT HEADQUARTERS,,0.0,0.0,35116.0,,,,,GP-Stratford,OCS (Other combustion source),,,,,124.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002438,2011,FIRST QUALITY TISSUE/LOCK HAVEN PLT,,0.0,0.0,100175.1,,,,,GP-FQTNE,OCS (Other combustion source),,,,,124.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002438,2011,FIRST QUALITY TISSUE/LOCK HAVEN PLT,,0.0,0.0,,,,,,FQTNE-Diesel,RICE (Reciprocating internal combustion engine),,500.0,Other,hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002439,2011,PITTSBURGH GLASS WORKS/MEADVILLE WORKS 8,,0.0,0.0,12.2,,,,,GP- Water Heaters,OCS (Other combustion source),,,,,0.04,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002439,2011,PITTSBURGH GLASS WORKS/MEADVILLE WORKS 8,,0.0,0.0,4604.0,,,,,GP-Boilers 1-3,OCS (Other combustion source),,,,,25.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002439,2011,PITTSBURGH GLASS WORKS/MEADVILLE WORKS 8,,0.0,0.0,,,,,,Source ID 101-Combustion,F (Furnace),,170.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002439,2011,PITTSBURGH GLASS WORKS/MEADVILLE WORKS 8,,0.0,0.0,,,,,,Source ID 102-Combustion,F (Furnace),,200.0,Other,mcf/hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002439,2011,PITTSBURGH GLASS WORKS/MEADVILLE WORKS 8,,0.0,0.0,,,,,,Source ID 34,"OB (Boiler, other)",,2.9,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,Ammonia Plant Feed Gas Heater,PRH (Process Heater),,295.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,Ammonia Plant Start-Up Heater,PRH (Process Heater),,36.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,A Riley,"OB (Boiler, other)",,763.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,B Riley,"OB (Boiler, other)",,763.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,Final Product Dryer (5800),PD (Product or intermediate product dryer),,5.1,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,Raw Product Dryer (5800),PD (Product or intermediate product dryer),,4.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002440,2011,Great Plains Synfuels Plant,,0.0,0.0,,,,,,S Riley,"OB (Boiler, other)",,763.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002442,2011,ARIZONA CHEMICAL COMPANY,,0.0,0.0,24346.8,,,,,GP- Hot oil heaters,OCS (Other combustion source),,,,,33.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002442,2011,ARIZONA CHEMICAL COMPANY,,0.0,82.4,,,,,,#2 Boiler 015,"OB (Boiler, other)",,175.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002443,2011,BIG RIVER RESOURCES WEST BURLINGTON LLC,,0.0,305.3,155961.4,,,,,GP- TOs/Dryers,OCS (Other combustion source),,,,,135.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002444,2011,Bertrand Compressor Station,,0.0,0.0,79723.0,,,,,GP-01,OCS (Other combustion source),,,,,44.9,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002446,2011,ST JOHN LANDFILL,,0.0,17.6,,,,,,Evaporator,"OB (Boiler, other)",,0.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002447,2011,North Hobbs Reinjection Compression Facility (RCF) and West Injection Battery (WIB),,0.0,0.0,23210.7,,,,,GP-North Hobbs,OCS (Other combustion source),,,,,15.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002448,2011,OSRAM SYLVANIA INC WELLSBORO PLT,,0.0,0.0,1358.4,,,,,GP-General Combustion Sources,OCS (Other combustion source),,,,,1.656,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002448,2011,OSRAM SYLVANIA INC WELLSBORO PLT,,0.0,0.0,1505.3,,,,,GP-Lehrs,OCS (Other combustion source),,,,,3.6,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002448,2011,OSRAM SYLVANIA INC WELLSBORO PLT,,0.0,0.0,2508.8,,,,,GP-Forehearths,OCS (Other combustion source),,,,,5.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002448,2011,OSRAM SYLVANIA INC WELLSBORO PLT,,0.0,0.0,,,,,,Glass Melting Furnace,F (Furnace),,89.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002448,2011,OSRAM SYLVANIA INC WELLSBORO PLT,,0.0,0.0,,,,,,Superior Boiler,"OB (Boiler, other)",,16.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002448,2011,OSRAM SYLVANIA INC WELLSBORO PLT,,0.4,0.0,,,,,,Fire Pump,RICE (Reciprocating internal combustion engine),,134.0,Other,Horsepower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002451,2011,Mallet CO2 Recovery Plant,,0.0,0.0,81761.3,,,,,GP-Mallet,OCS (Other combustion source),,,,,53.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002452,2011,Veolia Energy Kansas City,,0.0,0.0,,,,,,EU0010,"OB (Boiler, other)",,300.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002452,2011,Veolia Energy Kansas City,,0.0,0.0,,,,,,EU0020,"PCT (Pulverized coal, tangentially-fired)",,484.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002452,2011,Veolia Energy Kansas City,,0.0,0.0,,,,,,EU0020-1,"PCT (Pulverized coal, tangentially-fired)",,507.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002452,2011,Veolia Energy Kansas City,,0.0,0.0,,,,,,EU0030,"OB (Boiler, other)",,507.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002454,2011,SALT CREEK FIELD GAS PLANT,,0.0,0.0,52446.4,,,,,GP-Salt Creek,OCS (Other combustion source),,,,,32.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002455,2011,Graymont WESTERN LIME EDEN,,0.0,0.0,134881.3,,,,,GP-Eden Facility Kiln 1 and Kiln 2,OCS (Other combustion source),,,,,123.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002456,2011,"NGPL Station 108 Truro, IA",,0.0,0.0,51819.2,,,,,GP-01,OCS (Other combustion source),,,,,56.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,11032.2,,,,,CP-Natural Gas Foundry S,OCS (Other combustion source),,,,,,,5.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,15902.7,,,,,CP-Natural Gas East Lot,OCS (Other combustion source),,,,,,,33.475,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,19.4,,,,,CP-Fuel Oil Backup,OCS (Other combustion source),,,,,,,33.475,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,2399.0,,,,,CP-Natural Gas 1010 Building,OCS (Other combustion source),,,,,,,10.46,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,313.8,,,,,CP-Propane Vaporizer,OCS (Other combustion source),,,,,,,5.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,5270.1,,,,,CP-Natural Gas Foundry N,OCS (Other combustion source),,,,,,,5.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002458,2011,JOHN DEERE FNDRY WATERLOO,,,0.0,565.7,,,,,CP-Natural Gas A Building,OCS (Other combustion source),,,,,,,6.277,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002459,2011,University of Colorado Boulder - Utility Services,,0.0,0.0,149.8,,,,,GP-Duct Burners,OCS (Other combustion source),,,,,66.6,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002459,2011,University of Colorado Boulder - Utility Services,,0.0,0.0,2736.7,,,,,GP-Main Campus,OCS (Other combustion source),,,,,10.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002459,2011,University of Colorado Boulder - Utility Services,,0.0,0.0,32921.6,,,,,GP-Boilers,OCS (Other combustion source),,,,,151.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002459,2011,University of Colorado Boulder - Utility Services,,0.0,0.0,4738.2,,,,,GP-Turbines,OCS (Other combustion source),,,,,189.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002460,2011,UNION CARBIDE TEXAS CITY,,0.0,0.0,,,,,,ACID_INC_OAI INCINERATOR_E12C035,"ICI (Incinerator, commercial and industrial)",,14.9,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002460,2011,UNION CARBIDE TEXAS CITY,,0.0,0.0,,,,,,DIST_INC_VAPOR INCINERATOR-C01A048,"ICI (Incinerator, commercial and industrial)",,10.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
